period,bsurf
0.217922882,2.08E+10
0.059030003,2.28E+10
0.056133036,2.34E+10
0.111600837,2.54E+10
0.14727431,2.58E+10
0.354550317,2.70E+10
0.426676787,2.73E+10
0.276603043,2.96E+10
0.458488407,2.99E+10
0.259246643,3.96E+10
0.185559973,4.14E+10
0.281399143,4.22E+10
0.22653899,4.27E+10
0.278729444,4.39E+10
0.269954068,4.47E+10
0.269200541,4.50E+10
0.252773323,4.83E+10
0.107718216,4.88E+10
0.444425725,4.98E+10
0.354731799,5.04E+10
0.222366515,5.14E+10
0.162323476,5.14E+10
0.227564958,5.15E+10
0.326279453,5.22E+10
0.102618288,5.29E+10
0.235248925,5.34E+10
0.241034548,5.36E+10
0.560503533,5.37E+10
0.354233941,5.39E+10
0.355156037,5.71E+10
0.18552016,5.85E+10
0.261954678,6.07E+10
0.661401759,6.28E+10
0.610258782,6.49E+10
0.297769547,6.55E+10
0.283900964,6.64E+10
0.535828895,6.91E+10
0.163727372,6.95E+10
0.551241254,7.05E+10
0.414763027,7.21E+10
0.309398366,7.27E+10
0.2172135,7.29E+10
0.434444873,7.34E+10
0.305447058,7.42E+10
0.520954311,7.49E+10
0.515983511,7.62E+10
0.334415427,7.66E+10
0.183156899,7.74E+10
0.460405819,7.86E+10
0.308917679,7.91E+10
0.419279741,8.03E+10
0.377578026,8.11E+10
0.341772477,8.34E+10
0.438113157,8.35E+10
0.336424676,8.51E+10
0.498149073,8.51E+10
0.241642176,8.63E+10
0.398292163,8.66E+10
0.298116358,8.72E+10
0.35326292,8.92E+10
0.035577876,8.96E+10
0.153716278,9.07E+10
0.2149248,9.45E+10
0.541285681,9.48E+10
0.587558978,9.50E+10
0.353293033,9.51E+10
0.224201191,9.70E+10
0.262025693,9.92E+10
0.34083213,9.95E+10
0.545445536,1.03E+11
0.299625107,1.04E+11
0.440618477,1.04E+11
0.136961611,1.05E+11
0.1785538,1.05E+11
0.351124634,1.08E+11
0.378596492,1.08E+11
0.175166247,1.10E+11
0.308580662,1.11E+11
1.216975723,1.12E+11
0.56447538,1.13E+11
0.191442663,1.15E+11
0.447708444,1.18E+11
0.412401047,1.19E+11
0.297494122,1.22E+11
0.56207429,1.22E+11
0.406081181,1.22E+11
0.879790876,1.24E+11
0.832001949,1.24E+11
0.41411105,1.26E+11
0.420252155,1.26E+11
0.222561103,1.27E+11
0.328514216,1.27E+11
0.244838478,1.28E+11
0.667485534,1.28E+11
0.426645981,1.28E+11
0.24681677,1.28E+11
0.395730639,1.29E+11
0.291341471,1.29E+11
0.647197747,1.30E+11
0.572592272,1.30E+11
0.379536106,1.30E+11
0.139524667,1.30E+11
0.358306049,1.31E+11
0.141908589,1.34E+11
0.297982327,1.35E+11
0.47351253,1.35E+11
0.290305256,1.37E+11
0.468401604,1.39E+11
0.954158007,1.40E+11
0.488242009,1.41E+11
0.356928998,1.41E+11
1.2272354,1.42E+11
0.542935874,1.43E+11
0.330328052,1.44E+11
0.290108193,1.46E+11
0.335162528,1.46E+11
0.506568335,1.48E+11
0.628969721,1.48E+11
0.482595929,1.49E+11
0.540102321,1.54E+11
0.693811206,1.54E+11
0.497772394,1.55E+11
0.547209202,1.55E+11
0.254720352,1.56E+11
0.313016401,1.56E+11
0.354437595,1.63E+11
0.570264125,1.63E+11
0.263376815,1.63E+11
0.684013603,1.63E+11
1.872994377,1.64E+11
0.290716217,1.65E+11
0.580871337,1.65E+11
0.261270556,1.66E+11
0.78552185,1.66E+11
0.212316409,1.67E+11
0.48428646,1.68E+11
1.121944194,1.69E+11
0.346796929,1.69E+11
0.283791854,1.70E+11
0.341402932,1.71E+11
0.443824608,1.72E+11
0.309904593,1.72E+11
0.286561229,1.73E+11
0.336337132,1.74E+11
0.39071509,1.75E+11
0.770909761,1.76E+11
0.75553541,1.76E+11
0.280348662,1.82E+11
0.51810978,1.82E+11
1.224754415,1.83E+11
0.448945467,1.83E+11
0.877239078,1.85E+11
0.410860719,1.85E+11
0.356849313,1.88E+11
0.628540823,1.88E+11
0.275025683,1.90E+11
0.216018279,1.90E+11
0.083157305,1.91E+11
0.670026298,1.91E+11
0.414870537,1.91E+11
0.208955693,1.92E+11
0.399170177,1.92E+11
1.085520615,1.92E+11
0.234169036,1.94E+11
0.301887897,1.95E+11
0.871682833,1.95E+11
0.190067108,1.95E+11
0.471224878,1.96E+11
0.760681389,1.97E+11
0.66587862,1.97E+11
0.870711559,1.98E+11
0.104694545,1.98E+11
0.424311403,2.01E+11
0.477715344,2.01E+11
0.59288513,2.01E+11
0.349433682,2.01E+11
0.556216056,2.02E+11
0.463329577,2.02E+11
0.326271446,2.04E+11
0.696278743,2.05E+11
0.217317452,2.06E+11
0.276027693,2.07E+11
0.473870558,2.08E+11
0.275641499,2.08E+11
0.558383386,2.11E+11
0.437869002,2.12E+11
0.615538243,2.13E+11
1.09100843,2.14E+11
0.325724366,2.14E+11
0.438014149,2.15E+11
0.294759771,2.17E+11
0.391385101,2.19E+11
0.717637328,2.20E+11
0.318357731,2.21E+11
0.532974706,2.21E+11
0.22832425,2.21E+11
0.313885675,2.21E+11
0.909822701,2.23E+11
0.808546089,2.23E+11
0.442838499,2.25E+11
0.196321375,2.27E+11
0.501123113,2.27E+11
0.256777653,2.28E+11
0.565369345,2.29E+11
1.07111811,2.30E+11
0.404039751,2.30E+11
0.542451096,2.32E+11
0.79223592,2.32E+11
0.871242606,2.33E+11
0.698260601,2.35E+11
0.6137596,2.36E+11
0.67008576,2.37E+11
0.385194095,2.37E+11
0.463473742,2.39E+11
0.482766274,2.39E+11
0.315835048,2.40E+11
0.353602533,2.41E+11
0.202736912,2.42E+11
0.253065165,2.44E+11
0.490506513,2.45E+11
0.77149252,2.45E+11
0.464300493,2.48E+11
0.485268384,2.50E+11
0.087834156,2.51E+11
0.807564614,2.52E+11
0.276497484,2.52E+11
0.321793347,2.54E+11
0.789212012,2.55E+11
0.484913679,2.56E+11
0.380140345,2.56E+11
0.407292274,2.57E+11
0.730372511,2.57E+11
0.225004475,2.57E+11
0.322061827,2.61E+11
0.450448331,2.62E+11
0.308860862,2.62E+11
0.303910924,2.62E+11
0.341336231,2.62E+11
0.596799464,2.62E+11
0.447517711,2.63E+11
0.355665849,2.63E+11
0.696262215,2.68E+11
0.660313372,2.69E+11
0.927177742,2.71E+11
0.766706386,2.72E+11
0.636414137,2.74E+11
0.738062443,2.75E+11
0.207953012,2.75E+11
0.325771287,2.75E+11
0.713489254,2.76E+11
0.236983307,2.77E+11
0.395555112,2.81E+11
1.156360288,2.82E+11
0.126400333,2.82E+11
0.587566794,2.85E+11
0.50988582,2.85E+11
0.735091648,2.88E+11
0.474381435,2.88E+11
0.398173022,2.88E+11
0.265072236,2.89E+11
0.218554096,2.89E+11
0.570510633,2.89E+11
0.345698034,2.89E+11
0.830269885,2.89E+11
0.221507638,2.89E+11
0.157508543,2.90E+11
0.233651969,2.90E+11
1.016349195,2.91E+11
0.34540116,2.91E+11
0.55795348,2.91E+11
0.208958332,2.97E+11
0.483769998,3.00E+11
0.804304237,3.01E+11
0.337854845,3.01E+11
0.823339271,3.02E+11
0.867443879,3.02E+11
0.645161191,3.03E+11
0.328664727,3.03E+11
0.864872805,3.04E+11
0.405935963,3.05E+11
0.2354752,3.07E+11
0.840679981,3.08E+11
0.197030098,3.10E+11
0.153196979,3.10E+11
0.125962232,3.11E+11
0.317306233,3.12E+11
0.475067675,3.12E+11
0.794882546,3.13E+11
0.437454407,3.13E+11
0.200383696,3.15E+11
0.223320267,3.17E+11
1.087417728,3.18E+11
1.215697614,3.19E+11
0.261049318,3.20E+11
0.487812628,3.24E+11
0.77534459,3.24E+11
0.239919487,3.25E+11
0.860387839,3.25E+11
0.30151055,3.26E+11
0.199147397,3.27E+11
0.361921325,3.29E+11
0.728154217,3.32E+11
0.471603579,3.33E+11
0.334725227,3.33E+11
0.047762508,3.34E+11
0.329186858,3.34E+11
0.464036814,3.37E+11
0.433083926,3.38E+11
0.779628114,3.41E+11
0.184502203,3.43E+11
0.288602792,3.44E+11
1.260214059,3.45E+11
0.256352799,3.47E+11
0.191036694,3.48E+11
0.318062051,3.49E+11
0.327057738,3.50E+11
0.149460656,3.52E+11
0.035908613,3.52E+11
0.360957675,3.53E+11
0.562789987,3.53E+11
0.096130563,3.54E+11
0.415812941,3.56E+11
0.249608955,3.58E+11
0.612209204,3.58E+11
0.674060361,3.60E+11
0.440153067,3.61E+11
0.33662023,3.62E+11
0.32267355,3.62E+11
0.421816234,3.64E+11
0.200980202,3.64E+11
0.89295867,3.67E+11
0.782948566,3.69E+11
0.791822442,3.69E+11
0.332886679,3.70E+11
0.291467537,3.72E+11
1.326148567,3.72E+11
0.132313618,3.75E+11
0.618760636,3.76E+11
0.650836872,3.79E+11
0.621976245,3.79E+11
0.924053918,3.80E+11
0.628305879,3.80E+11
0.359394162,3.80E+11
0.143575681,3.80E+11
0.223557829,3.81E+11
0.242190324,3.84E+11
0.178352043,3.84E+11
0.185310102,3.85E+11
0.252869847,3.86E+11
0.443648922,3.87E+11
0.988280597,3.88E+11
2.597027157,3.89E+11
0.390327977,3.89E+11
0.329531922,3.89E+11
0.383830424,3.90E+11
0.190709643,3.91E+11
0.458734826,3.95E+11
0.570409236,3.96E+11
0.963017702,3.97E+11
0.282011711,4.02E+11
0.478145483,4.02E+11
1.081163527,4.08E+11
0.549497698,4.08E+11
0.57142032,4.08E+11
1.319373385,4.08E+11
1.273945126,4.12E+11
0.294162515,4.13E+11
0.322908567,4.14E+11
0.658013101,4.15E+11
0.752906543,4.18E+11
0.877561237,4.21E+11
0.615033895,4.21E+11
0.212352673,4.23E+11
0.288349244,4.25E+11
0.340854177,4.27E+11
0.910362984,4.28E+11
0.626323942,4.30E+11
0.414383354,4.32E+11
0.263211635,4.33E+11
0.269443321,4.33E+11
0.178756352,4.36E+11
0.233164076,4.37E+11
0.117801551,4.40E+11
0.612132964,4.40E+11
0.233326207,4.40E+11
0.670479963,4.42E+11
0.317314883,4.43E+11
0.893319661,4.44E+11
0.49085673,4.44E+11
0.405336949,4.45E+11
0.258684648,4.46E+11
0.558179222,4.47E+11
0.21477111,4.47E+11
0.782598469,4.47E+11
1.28656438,4.48E+11
0.526643531,4.51E+11
0.866342509,4.54E+11
0.579576736,4.56E+11
0.279767331,4.56E+11
0.428340989,4.56E+11
0.798451567,4.57E+11
0.193404571,4.57E+11
0.301458774,4.58E+11
0.361690596,4.60E+11
0.446226282,4.61E+11
1.138285683,4.61E+11
0.526556139,4.62E+11
0.456511945,4.63E+11
1.019092771,4.63E+11
1.010738953,4.66E+11
0.323434056,4.68E+11
0.633411983,4.68E+11
1.292241447,4.72E+11
0.218711565,4.73E+11
0.996107795,4.73E+11
1.221425959,4.74E+11
0.295699176,4.77E+11
0.935771922,4.77E+11
0.384486784,4.78E+11
0.61730767,4.79E+11
0.154991358,4.80E+11
0.308047947,4.80E+11
0.392478973,4.83E+11
0.039531193,4.86E+11
0.761889236,4.88E+11
0.524270863,4.90E+11
1.018392746,4.90E+11
0.899376721,4.93E+11
0.50173031,4.96E+11
0.306166988,4.96E+11
1.830857453,4.96E+11
0.382375953,4.97E+11
1.360602928,4.98E+11
0.140745806,4.99E+11
1.255468574,4.99E+11
0.255677098,5.01E+11
1.023503699,5.02E+11
0.245757118,5.02E+11
0.442900631,5.03E+11
0.732061265,5.03E+11
0.739098946,5.03E+11
0.654408147,5.03E+11
0.583764997,5.06E+11
0.549553119,5.10E+11
0.612916286,5.14E+11
1.068707691,5.15E+11
0.352464213,5.16E+11
0.257056098,5.18E+11
0.226517635,5.18E+11
0.445822307,5.19E+11
0.409050865,5.19E+11
1.150590428,5.21E+11
0.401625623,5.25E+11
1.179387039,5.29E+11
1.811560611,5.30E+11
0.33421284,5.31E+11
0.275207111,5.31E+11
0.255426484,5.31E+11
1.15527196,5.33E+11
0.306323025,5.34E+11
0.156399367,5.40E+11
0.371924139,5.41E+11
2.058313789,5.41E+11
0.125229558,5.42E+11
0.514671377,5.45E+11
0.651185384,5.45E+11
0.367953256,5.46E+11
1.324921971,5.46E+11
0.928323751,5.50E+11
0.479098585,5.52E+11
0.544001871,5.52E+11
0.196478664,5.55E+11
1.358745313,5.56E+11
0.12483638,5.59E+11
0.392703893,5.61E+11
0.477157518,5.62E+11
0.284697472,5.63E+11
1.077332701,5.66E+11
0.412229959,5.66E+11
0.337320796,5.67E+11
0.189094493,5.68E+11
0.477233119,5.68E+11
0.448635442,5.70E+11
0.224603837,5.74E+11
1.18126923,5.75E+11
0.748448416,5.76E+11
0.25535966,5.78E+11
1.63084631,5.80E+11
0.648116647,5.82E+11
0.685358486,5.83E+11
0.794996675,5.83E+11
0.636584478,5.84E+11
0.327417573,5.85E+11
0.633640298,5.85E+11
0.198451451,5.86E+11
0.104674921,5.86E+11
0.379387162,5.88E+11
1.099651368,5.90E+11
0.450867766,5.95E+11
0.866349285,5.96E+11
0.974700373,5.96E+11
0.580187269,5.97E+11
1.16174311,5.98E+11
0.839394325,6.02E+11
0.666437923,6.08E+11
0.548879819,6.10E+11
0.650434491,6.11E+11
0.586485556,6.11E+11
0.851013803,6.12E+11
0.573196989,6.12E+11
0.507379567,6.13E+11
0.532577741,6.15E+11
0.274556685,6.16E+11
0.364590355,6.18E+11
0.670037418,6.23E+11
0.118771393,6.23E+11
0.74400094,6.25E+11
1.060363544,6.25E+11
0.942950995,6.28E+11
0.402857909,6.28E+11
0.279828697,6.29E+11
0.574697952,6.29E+11
0.587476776,6.30E+11
0.676081894,6.31E+11
1.081843782,6.31E+11
0.396586749,6.34E+11
0.276726137,6.35E+11
0.269414732,6.35E+11
0.600997496,6.35E+11
0.203556698,6.37E+11
0.6409582,6.37E+11
0.419617792,6.38E+11
0.311673518,6.39E+11
0.301489849,6.39E+11
0.35187944,6.40E+11
1.377868496,6.42E+11
0.616270272,6.44E+11
0.203552878,6.44E+11
1.011233535,6.44E+11
0.158042918,6.44E+11
0.640015724,6.46E+11
0.191614063,6.48E+11
0.355654901,6.49E+11
0.43027825,6.49E+11
0.194454482,6.51E+11
0.287431567,6.51E+11
0.382072812,6.51E+11
0.206219981,6.51E+11
0.381319294,6.52E+11
0.266473637,6.53E+11
0.270502039,6.54E+11
0.521472714,6.55E+11
0.454839209,6.56E+11
0.593533613,6.56E+11
0.369426696,6.58E+11
1.175840023,6.58E+11
0.148796488,6.63E+11
0.386003724,6.66E+11
0.284351393,6.67E+11
1.818461193,6.69E+11
0.454650713,6.72E+11
0.763741848,6.73E+11
0.350109573,6.73E+11
0.185397244,6.73E+11
0.528590779,6.74E+11
1.019371557,6.75E+11
0.289688895,6.77E+11
0.283070377,6.79E+11
1.672595681,6.81E+11
1.362889954,6.82E+11
0.77113024,6.83E+11
1.636792452,6.83E+11
0.286757045,6.86E+11
0.596993203,6.87E+11
1.022875141,6.88E+11
0.620448365,6.88E+11
0.253556015,6.89E+11
3.314001501,6.89E+11
0.555824216,6.89E+11
2.55049821,6.90E+11
0.457526574,6.91E+11
0.064686131,6.94E+11
